acctnum,nonbook
10001,248
10002,103
10003,147
10004,257
10005,134
10006,98
10007,0
10008,114
10009,288
10010,108
10011,269
10012,146
10013,211
10014,251
10015,0
10016,111
10017,137
10018,300
10019,181
10020,276
10021,177
10022,72
10023,287
10024,85
10025,272
10026,14
10027,243
10028,74
10029,100
10030,225
10031,66
10032,186
10033,239
10034,255
10035,103
10036,56
10037,40
10038,131
10039,175
10040,108
10041,266
10042,221
10043,132
10044,37
10045,37
10046,60
10047,213
10048,321
10049,122
10050,295
10051,242
10052,79
10053,135
10054,237
10055,49
10056,56
10057,196
10058,230
10059,68
10060,120
10061,175
10062,239
10063,118
10064,114
10065,153
10066,84
10067,175
10068,123
10069,204
10070,246
10071,240
10072,291
10073,119
10074,276
10075,172
10076,23
10077,178
10078,269
10079,172
10080,280
10081,237
10082,186
10083,54
10084,157
10085,259
10086,36
10087,55
10088,157
10089,266
10090,202
10091,57
10092,297
10093,148
10094,98
10095,226
10096,210
10097,238
10098,25
10099,246
10100,281
10101,168
10102,274
10103,253
10104,74
10105,82
10106,229
10107,47
10108,171
10109,260
10110,150
10111,159
10112,120
10113,67
10114,92
10115,34
10116,188
10117,223
10118,233
10119,159
10120,199
10121,152
10122,78
10123,98
10124,207
10125,161
10126,66
10127,210
10128,103
10129,280
10130,289
10131,299
10132,33
10133,203
10134,240
10135,160
10136,64
10137,256
10138,209
10139,217
10140,8
10141,264
10142,56
10143,55
10144,19
10145,259
10146,196
10147,25
10148,189
10149,143
10150,62
10151,160
10152,86
10153,218
10154,154
10155,115
10156,263
10157,95
10158,114
10159,226
10160,187
10161,294
10162,293
10163,298
10164,198
10165,230
10166,12
10167,29
10168,41
10169,228
10170,32
10171,5
10172,195
10173,237
10174,288
10175,23
10176,171
10177,158
10178,101
10179,89
10180,293
10181,275
10182,4
10183,195
10184,107
10185,239
10186,103
10187,289
10188,190
10189,284
10190,184
10191,301
10192,283
10193,48
10194,177
10195,117
10196,223
10197,46
10198,269
10199,74
10200,106
10201,42
10202,131
10203,67
10204,227
10205,265
10206,259
10207,299
10208,3
10209,196
10210,138
10211,234
10212,137
10213,64
10214,162
10215,199
10216,250
10217,137
10218,242
10219,24
10220,277
10221,96
10222,40
10223,194
10224,18
10225,157
10226,211
10227,91
10228,318
10229,157
10230,154
10231,199
10232,237
10233,315
10234,173
10235,211
10236,203
10237,137
10238,232
10239,29
10240,100
10241,192
10242,157
10243,79
10244,256
10245,195
10246,40
10247,152
10248,38
10249,254
10250,81
10251,47
10252,116
10253,257
10254,168
10255,117
10256,108
10257,169
10258,151
10259,190
10260,71
10261,113
10262,295
10263,17
10264,219
10265,235
10266,228
10267,184
10268,270
10269,94
10270,235
10271,69
10272,336
10273,116
10274,297
10275,55
10276,92
10277,144
10278,291
10279,22
10280,260
10281,57
10282,164
10283,150
10284,186
10285,238
10286,69
10287,123
10288,201
10289,20
10290,173
10291,324
10292,282
10293,98
10294,296
10295,264
10296,44
10297,250
10298,69
10299,288
10300,121
10301,225
10302,132
10303,92
10304,245
10305,220
10306,151
10307,81
10308,216
10309,168
10310,236
10311,225
10312,329
10313,7
10314,304
10315,48
10316,34
10317,4
10318,37
10319,19
10320,58
10321,161
10322,205
10323,153
10324,259
10325,252
10326,230
10327,68
10328,300
10329,298
10330,92
10331,220
10332,291
10333,255
10334,14
10335,59
10336,70
10337,216
10338,174
10339,35
10340,282
10341,97
10342,60
10343,270
10344,90
10345,208
10346,314
10347,23
10348,13
10349,82
10350,197
10351,34
10352,241
10353,276
10354,10
10355,122
10356,81
10357,96
10358,113
10359,267
10360,57
10361,49
10362,129
10363,286
10364,260
10365,146
10366,205
10367,40
10368,44
10369,7
10370,287
10371,193
10372,134
10373,276
10374,172
10375,287
10376,268
10377,92
10378,85
10379,87
10380,18
10381,124
10382,58
10383,245
10384,299
10385,290
10386,72
10387,246
10388,259
10389,272
10390,182
10391,43
10392,142
10393,81
10394,272
10395,127
10396,250
10397,228
10398,295
10399,154
10400,236
10401,297
10402,72
10403,278
10404,167
10405,15
10406,263
10407,295
10408,40
10409,137
10410,3
10411,172
10412,292
10413,223
10414,131
10415,223
10416,287
10417,240
10418,184
10419,247
10420,235
10421,276
10422,191
10423,113
10424,270
10425,327
10426,281
10427,191
10428,5
10429,146
10430,10
10431,259
10432,241
10433,214
10434,89
10435,74
10436,254
10437,246
10438,298
10439,202
10440,312
10441,220
10442,84
10443,249
10444,220
10445,298
10446,84
10447,120
10448,103
10449,138
10450,115
10451,188
10452,132
10453,69
10454,237
10455,161
10456,289
10457,256
10458,203
10459,11
10460,153
10461,89
10462,74
10463,246
10464,22
10465,151
10466,163
10467,110
10468,96
10469,177
10470,322
10471,133
10472,106
10473,222
10474,31
10475,274
10476,112
10477,96
10478,295
10479,76
10480,89
10481,303
10482,268
10483,267
10484,238
10485,262
10486,255
10487,113
10488,170
10489,271
10490,258
10491,234
10492,127
10493,137
10494,234
10495,282
10496,41
10497,80
10498,263
10499,245
10500,18
10501,106
10502,102
10503,106
10504,7
10505,287
10506,220
10507,195
10508,178
10509,173
10510,183
10511,143
10512,290
